"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://www.bettersleep.com/","1","BetterSleep | Sleep better. Feel Better.","40","336","Indexable",""
"https://www.bettersleep.com/studentprogram/","1","BetterSleep | Sleep better. Feel Better.","40","336","Indexable",""
"https://www.bettersleep.com/partners/","1","BetterSleep Partners","20","183","Indexable",""
"https://www.bettersleep.com/pt/partners/","1","BetterSleep Partners","20","183","Indexable",""
"https://www.bettersleep.com/ja/partners/","1","BetterSleep Partners","20","183","Indexable",""
"https://www.bettersleep.com/ru/partners/","1","BetterSleep Partners","20","183","Indexable",""
"https://www.bettersleep.com/es/partners/","1","BetterSleep Partners","20","183","Indexable",""
"https://www.bettersleep.com/blog/meditation/","1","Meditation","10","91","Indexable",""
"https://www.bettersleep.com/fr/blog/meditation/","1","Meditation","10","91","Indexable",""
"https://www.bettersleep.com/blog/meditation/page/7/","1","Meditation","10","91","Indexable",""
"https://www.bettersleep.com/blog/meditation/page/8/","1","Meditation","10","91","Indexable",""
"https://www.bettersleep.com/blog/meditation/page/5/","1","Meditation","10","91","Indexable",""
"https://www.bettersleep.com/blog/meditation/page/6/","1","Meditation","10","91","Indexable",""
"https://www.bettersleep.com/blog/meditation/page/3/","1","Meditation","10","91","Indexable",""
"https://www.bettersleep.com/blog/meditation/page/4/","1","Meditation","10","91","Indexable",""
"https://www.bettersleep.com/blog/meditation/page/2/","1","Meditation","10","91","Indexable",""
"https://www.bettersleep.com/blog/news/","1","News","4","49","Indexable",""
"https://www.bettersleep.com/blog/news/page/3/","1","News","4","49","Indexable",""
"https://www.bettersleep.com/blog/news/page/2/","1","News","4","49","Indexable",""
"https://www.bettersleep.com/blog/relaxation/","1","Relaxation","10","93","Indexable",""
"https://www.bettersleep.com/fr/blog/relaxation/","1","Relaxation","10","93","Indexable",""
"https://www.bettersleep.com/blog/relaxation/page/8/","1","Relaxation","10","93","Indexable",""
"https://www.bettersleep.com/blog/relaxation/page/9/","1","Relaxation","10","93","Indexable",""
"https://www.bettersleep.com/blog/relaxation/page/6/","1","Relaxation","10","93","Indexable",""
"https://www.bettersleep.com/blog/relaxation/page/2/","1","Relaxation","10","93","Indexable",""
"https://www.bettersleep.com/blog/relaxation/page/3/","1","Relaxation","10","93","Indexable",""
"https://www.bettersleep.com/blog/relaxation/page/7/","1","Relaxation","10","93","Indexable",""
"https://www.bettersleep.com/blog/relaxation/page/4/","1","Relaxation","10","93","Indexable",""
"https://www.bettersleep.com/blog/relaxation/page/5/","1","Relaxation","10","93","Indexable",""
"https://www.bettersleep.com/blog/sleep/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/8/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/6/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/20/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/4/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/10/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/22/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/2/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/12/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/24/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/14/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/26/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/16/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/5/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/9/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/18/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/7/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/21/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/3/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/23/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/11/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/13/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/25/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/15/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/17/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/27/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/19/","1","Sleep","5","51","Indexable",""
"https://www.bettersleep.com/pt/blog/sono/","1","Sono","4","46","Indexable",""
"https://www.bettersleep.com/pt/blog/sono/page/2/","1","Sono","4","46","Indexable",""
"https://www.bettersleep.com/blog/sound/","1","Sound","5","58","Indexable",""
"https://www.bettersleep.com/blog/sound/page/2/","1","Sound","5","58","Indexable",""
"https://www.bettersleep.com/es/blog/sueño/","1","Sueño","5","57","Indexable",""
"https://www.bettersleep.com/es/blog/sueño/page/2/","1","Sueño","5","57","Indexable",""
